noise_removal1,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max,rmse
none,ica,xz,none,abs,wavelet,"1,606329","50,392431","6,225746","26,768516","50,392431","17,366134"
none,ica,xz,smooth,abs,wavelet,"1,606329","50,392431","6,225746","26,768516","50,392431","17,366134"
none,ica,xz,bandpass,abs,wavelet,"1,606329","50,392431","6,225746","26,768516","50,392431","17,366134"
none,ica,xz,wavelet,abs,wavelet,"1,606329","50,392431","6,225746","26,768516","50,392431","17,366134"
smooth,ica,x,none,none,wavelet,"2,169507","48,802032","6,278875","39,831759","48,802032","18,922638"
smooth,ica,x,smooth,none,wavelet,"2,169507","48,802032","6,278875","39,831759","48,802032","18,922638"
smooth,ica,x,bandpass,none,wavelet,"2,169507","48,802032","6,278875","39,831759","48,802032","18,922638"
smooth,ica,x,wavelet,none,wavelet,"2,169507","48,802032","6,278875","39,831759","48,802032","18,922638"
bandpass,pca,y,none,none,corr,"1,431276","20,807126","6,28245","15,57674","20,807126","9,356949"
bandpass,pca,y,smooth,none,corr,"1,431276","20,807126","6,28245","15,57674","20,807126","9,356949"
bandpass,pca,y,bandpass,none,corr,"1,431276","20,807126","6,28245","15,57674","20,807126","9,356949"
bandpass,pca,y,wavelet,none,corr,"1,431276","20,807126","6,28245","15,57674","20,807126","9,356949"
none,pca,xz,none,none,wavelet,"0,687423","30,033141","6,287649","23,029889","30,033141","12,946819"
none,pca,xz,smooth,none,wavelet,"0,687423","30,033141","6,287649","23,029889","30,033141","12,946819"
none,pca,xz,bandpass,none,wavelet,"0,687423","30,033141","6,287649","23,029889","30,033141","12,946819"
none,pca,xz,wavelet,none,wavelet,"0,687423","30,033141","6,287649","23,029889","30,033141","12,946819"
bandpass,pca,yz,none,none,corr,"1,946765","14,504533","6,459535","14,494797","14,504533","8,687441"
bandpass,pca,yz,smooth,none,corr,"1,946765","14,504533","6,459535","14,494797","14,504533","8,687441"
bandpass,pca,yz,bandpass,none,corr,"1,946765","14,504533","6,459535","14,494797","14,504533","8,687441"
bandpass,pca,yz,wavelet,none,corr,"1,946765","14,504533","6,459535","14,494797","14,504533","8,687441"
