noise_removal1,transformation,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max,rmse
wavelet,none,none,x,smooth,none,wavelet,"0,03641","43,841128","6,523847","30,750089","43,841128","16,830343"
wavelet,none,none,x,bandpass,none,wavelet,"0,03641","43,841128","6,523847","30,750089","43,841128","16,830343"
wavelet,none,none,x,wavelet,none,wavelet,"0,03641","43,841128","6,523847","30,750089","43,841128","16,830343"
smooth,abs,ica,z,none,none,wavelet,"1,089415","61,226146","6,55566","47,048927","61,226146","22,411832"
smooth,abs,ica,z,smooth,none,wavelet,"1,089415","61,226146","6,55566","47,048927","61,226146","22,411832"
smooth,abs,ica,z,bandpass,none,wavelet,"1,089415","61,226146","6,55566","47,048927","61,226146","22,411832"
smooth,abs,ica,z,wavelet,none,wavelet,"1,089415","61,226146","6,55566","47,048927","61,226146","22,411832"
smooth,abs,ica,yz,none,none,wavelet,"1,720036","59,275402","6,55566","46,558866","59,275402","22,044457"
smooth,abs,ica,yz,none,abs,wavelet,"1,720036","58,072492","6,55566","38,156986","58,072492","20,306063"
smooth,abs,ica,yz,smooth,none,wavelet,"1,720036","59,275402","6,55566","46,558866","59,275402","22,044457"
smooth,abs,ica,yz,smooth,abs,wavelet,"1,720036","58,072492","6,55566","38,156986","58,072492","20,306063"
smooth,abs,ica,yz,bandpass,none,wavelet,"1,720036","59,275402","6,55566","46,558866","59,275402","22,044457"
smooth,abs,ica,yz,bandpass,abs,wavelet,"1,720036","58,072492","6,55566","38,156986","58,072492","20,306063"
smooth,abs,ica,yz,wavelet,none,wavelet,"1,720036","59,275402","6,55566","46,558866","59,275402","22,044457"
smooth,abs,ica,yz,wavelet,abs,wavelet,"1,720036","58,072492","6,55566","38,156986","58,072492","20,306063"
none,none,ica,z,none,abs,wavelet,"0,606318","43,617988","6,58969","24,819132","43,617988","15,25337"
none,none,ica,z,smooth,abs,wavelet,"0,606318","43,617988","6,58969","24,819132","43,617988","15,25337"
none,none,ica,z,bandpass,abs,wavelet,"0,606318","43,617988","6,58969","24,819132","43,617988","15,25337"
none,none,ica,z,wavelet,abs,wavelet,"0,606318","43,617988","6,58969","24,819132","43,617988","15,25337"
smooth,abs,ica,xyz,none,none,wavelet,"1,032053","57,927693","6,610721","40,9494","57,927693","20,576439"
smooth,abs,ica,xyz,none,abs,wavelet,"1,032053","57,125753","6,610721","35,348146","57,125753","19,436502"
smooth,abs,ica,xyz,smooth,none,wavelet,"1,032053","57,927693","6,610721","40,9494","57,927693","20,576439"
smooth,abs,ica,xyz,smooth,abs,wavelet,"1,032053","57,125753","6,610721","35,348146","57,125753","19,436502"
smooth,abs,ica,xyz,bandpass,none,wavelet,"1,032053","57,927693","6,610721","40,9494","57,927693","20,576439"
smooth,abs,ica,xyz,bandpass,abs,wavelet,"1,032053","57,125753","6,610721","35,348146","57,125753","19,436502"
smooth,abs,ica,xyz,wavelet,none,wavelet,"1,032053","57,927693","6,610721","40,9494","57,927693","20,576439"
smooth,abs,ica,xyz,wavelet,abs,wavelet,"1,032053","57,125753","6,610721","35,348146","57,125753","19,436502"
smooth,none,none,y,none,none,wavelet,"1,395501","59,422765","6,624542","45,473025","59,422765","21,624623"
smooth,none,none,y,smooth,none,wavelet,"1,395501","59,422765","6,624542","45,473025","59,422765","21,624623"
smooth,none,none,y,bandpass,none,wavelet,"1,395501","59,422765","6,624542","45,473025","59,422765","21,624623"
smooth,none,none,y,wavelet,none,wavelet,"1,395501","59,422765","6,624542","45,473025","59,422765","21,624623"
none,none,ica,xz,none,none,wavelet,"0,458851","27,085476","6,640554","22,17634","27,085476","12,096544"
